driverId,name,ssn,location,certified,wage-plan
10,Rachel Singleton,068-94-6844,"525 Poole Corner Suite 155
Brettmouth, AS 52812",Y,miles
11,Andrew Moreno,885-61-2734,"040 Stephen Extension
Shirleybury, IN 20184",Y,hours
12,Valerie Mcdonald,823-65-8579,"47403 Jill Place
Murrayfort, MA 56557",Y,miles
13,Katherine Hernandez,671-50-3036,"10555 Kimberly Lodge
Amybury, NJ 58757",N,hours
14,Jonathan Davis,305-71-0621,"8263 Hannah Cliffs
North Latasha, MS 86499",N,hours
15,Rhonda Whitehead,462-32-7978,"7679 Gross Cliffs Apt. 138
South Stephanie, AS 36887",N,miles
16,James Henry,043-70-8233,"3572 Cynthia Village Apt. 380
Fowlerview, MD 58665",N,miles
17,Lucas Johnston,071-91-0967,"621 Troy Field Suite 747
Jacksonview, NH 05927",Y,miles
18,Craig Marshall,246-21-7259,"635 Mcpherson Village Suite 644
Lake Jeffbury, FL 52883",Y,miles
19,Laura Collins,858-61-4212,"771 Phillip Ports Apt. 735
Lonnieside, AS 42778",N,miles
20,Tami White,471-01-1624,"48587 David Skyway
North Rachel, WV 34457",N,miles
21,Daniel Newton,324-57-5105,"2200 Bailey Route
North James, FM 23508",Y,miles
22,Amy Garrett,246-87-7754,"743 Catherine Isle
Simpsonmouth, AL 24480",N,miles
23,Bradley Campbell,540-02-5335,"4693 Alexander Cove
West Jessica, SC 34244",Y,miles
24,Jessica Conner,179-28-1828,"5131 Collins Springs
South Williamhaven, AS 85244",Y,hours
25,Jeff Cole,112-08-4415,"52550 Fisher Coves Apt. 665
Joneschester, MD 93763",Y,hours
26,Sheri Proctor,768-47-6110,"93615 Jessica Mountain Suite 991
Samanthafurt, DC 46852",Y,hours
27,Shari Chung,364-81-5741,"726 Claudia Cove Suite 678
South Phylliston, ME 37448",Y,miles
28,Amy Henry,443-87-7622,"03730 Miller Ford
Montgomeryfurt, DC 15600",N,miles
29,Amanda Tucker,182-21-3915,"4269 Martinez Circles Apt. 900
South James, IN 18844",Y,miles
30,Martin Johnson,129-19-9045,"15164 David Fords Apt. 705
Taylorchester, AS 93769",Y,miles
31,Michael Mcclain,464-03-8308,"6943 Barnes Circles
Elizabethstad, TX 20057",N,miles
32,Kevin Wilson,048-33-8239,"1768 Julie Coves
Mauriceborough, WA 80796",N,miles
33,Scott Ortiz,087-92-1532,"00788 Atkinson Garden
Lake Adam, VA 76001",Y,hours
